t,raw_score,score,rec_err,lat_err,edge_err,err_phys,err_cyber,err_event,top_nodes,y_true,switching,physical_block_context,switch_event,attack_type,affected_nodes,rec_z,phys_z,cyber_z,edge_z,lat_z,threshold,raw_alert,high_score,strong_cyber,strong_physical,cyber_confirmed,physical_confirmed_raw,physical_confirmed_persistent,confirmed_alert_before_persistence,physical_confirmed,alert,threshold_method,context_aware_alerting,cyber_confirm_z,phys_confirm_z,phys_min_rec_z,phys_persistence_k,physical_confirmation_enabled,persistence_k
67,0.7392220497131348,0.5382585386840729,0.7392220497131348,0.5106863975524902,6133.75537109375,0.7918807864189148,0.9758552312850952,0.002662317594513297,"[11, 19, 8, 6, 9, 24]",0,0,0,0,none,[],0.4801891530953014,0.3875153894427796,0.583004081861944,0.2139251650190466,1.0164199695892497,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
68,0.7501067519187927,0.19067416146271254,0.7501067519187927,0.5055532455444336,6136.791015625,0.8438329100608826,0.889609158039093,0.00247188494540751,"[30, 38, 19, 29, 4, 34]",0,0,0,0,none,[],0.5675988346680408,0.7035622417500429,0.0,0.25358795730472633,0.993457733455459,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
69,0.7176437377929688,0.15852495579097106,0.7176437377929688,0.5042649507522583,6103.16552734375,0.8514546751976013,0.7408713698387146,0.002134025329723954,"[26, 8, 19, 0, 23, 20]",0,0,0,0,none,[],0.3069043596134439,0.7499286789930298,0.0,0.0,0.9876947774429676,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
70,0.6952526569366455,0.16616686491396093,0.6952526569366455,0.508784830570221,6101.51318359375,0.8893868923187256,0.5564374923706055,0.0022119481582194567,"[7, 19, 8, 30, 16, 3]",0,0,0,0,none,[],0.12709261917801806,0.9806864802483882,0.0,0.0,1.0079136502746153,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
71,0.700850784778595,0.1336591605968518,0.700850784778595,0.5054785013198853,6011.4541015625,0.846372663974762,0.6862754225730896,0.0023919730447232723,"[26, 7, 35, 28, 19, 32]",0,0,0,0,none,[],0.17204842622011898,0.7190126444255596,0.0,0.0,0.9931233785540218,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
72,0.7503408193588257,0.21485662822465346,0.7503408193588257,0.5117746591567993,6153.41796875,0.8700248599052429,0.8252475261688232,0.0021070202346891165,"[23, 30, 21, 4, 19, 35]",0,0,0,0,none,[],0.5694785149765377,0.8628990065211521,0.0,0.4708305828334325,1.021288112962807,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
73,0.7125562429428101,0.09565523131661853,0.7125562429428101,0.5007505416870117,6087.5068359375,0.789273202419281,0.8759600520133972,0.002164376899600029,"[5, 19, 2, 22, 30, 10]",0,0,0,0,none,[],0.2660491945888862,0.371652347521904,0.0,0.0,0.9719736979385486,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
74,0.6982552409172058,0.33571607761156697,0.6982552409172058,0.4881488084793091,6107.138671875,0.7340365052223206,0.9568579196929932,0.002143325051292777,"[0, 36, 38, 11, 19, 29]",0,0,0,0,none,[],0.1512048920429347,0.03562403804878706,0.4395596258540124,0.0,0.9156021014699199,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
75,0.7115730047225952,0.09720258674495419,0.7115730047225952,0.4875709116458893,6121.2509765625,0.792266845703125,0.8645176887512207,0.0022143665701150894,"[4, 33, 19, 25, 16, 23]",0,0,0,0,none,[],0.2581532927887936,0.3898639521775677,0.0,0.05054661465006281,0.9130169834899482,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
76,0.7676718235015869,0.8743038637995852,0.7676718235015869,0.4831312298774719,6102.30419921875,0.816338300704956,1.0287272930145264,0.0022286181338131428,"[30, 19, 38, 34, 27, 23]",0,0,0,0,none,[],0.7086552719361475,0.5363008454259315,0.9822292088503907,0.0,0.8931568622690532,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
77,0.7238934636116028,0.1596304673409553,0.7238934636116028,0.4767160415649414,6145.20458984375,0.8444161415100098,0.7834230065345764,0.0022208518348634243,"[34, 0, 19, 16, 24, 25]",0,0,0,0,none,[],0.35709282902694467,0.707110286579424,0.0,0.3635171150776952,0.8644596663465758,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
78,0.5973733067512512,0.0,0.5973733067512512,0.4538017511367798,6146.9453125,0.6634395122528076,0.7297831177711487,0.0022224923595786095,"[19, 35, 24, 30, 28, 6]",0,0,0,0,none,[],0.0,0.0,0.0,0.3862608587641112,0.7619566921849148,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
79,0.6236845850944519,0.0,0.6236845850944519,0.44782188534736633,6203.91748046875,0.6653997898101807,0.829938530921936,0.002600709442049265,"[19, 30, 37, 38, 26, 31]",0,0,0,0,none,[],0.0,0.0,0.0,1.1306415795459714,0.7352068336010711,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
80,0.7270711660385132,0.8609129472642822,0.7270711660385132,0.442659854888916,6131.404296875,0.7436550259590149,1.0479949712753296,0.002304651075974107,"[14, 38, 15, 30, 19, 28]",0,0,0,0,none,[],0.38261139187056353,0.09413758840207234,1.127715143176267,0.183206756645949,0.712115414891725,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
81,0.7520641684532166,1.0940505309144315,0.7520641684532166,0.4387420415878296,6145.66650390625,0.7701323628425598,1.081836462020874,0.0021781439427286386,"[29, 19, 20, 16, 30, 4]",0,0,0,0,none,[],0.5833178826260331,0.2552104838469759,1.3832446799192573,0.36955234131257586,0.6945897787900754,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
82,0.7651796340942383,0.692746352067584,0.7651796340942383,0.43952780961990356,6181.6767578125,0.8264490365982056,0.99319988489151,0.0027917465195059776,"[34, 2, 15, 19, 31, 36]",0,0,0,0,none,[],0.6886417264666111,0.5978087498110032,0.7139696866084883,0.8400511780950424,0.6981047713464126,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
83,0.6704248785972595,0.9440885790784433,0.6704248785972595,0.4235581159591675,6142.07373046875,0.6412674188613892,1.077261209487915,0.0025393899995833635,"[23, 19, 13, 2, 30, 20]",0,0,0,0,none,[],0.0,0.0,1.348697970112062,0.32261027510089313,0.6266672070103914,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
84,0.6784385442733765,0.023285580711972217,0.6784385442733765,0.4162061810493469,6139.6484375,0.7536986470222473,0.8284870982170105,0.002040868392214179,"[8, 19, 26, 30, 38, 34]",0,0,0,0,none,[],0.0,0.15523720474648145,0.0,0.29092214750189505,0.5937796429611297,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
85,0.6006282567977905,0.0,0.6006282567977905,0.3995811343193054,6168.98681640625,0.6569152474403381,0.7592200040817261,0.002010046737268567,"[19, 30, 24, 2, 25, 12]",0,0,0,0,none,[],0.0,0.0,0.0,0.6742483296613073,0.5194104740467175,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
86,0.6448193192481995,0.0,0.6448193192481995,0.38248348236083984,6160.34521484375,0.7172160744667053,0.7852900624275208,0.001894331886433065,"[35, 24, 22, 19, 13, 30]",0,0,0,0,none,[],0.0,0.0,0.0,0.5613398371613942,0.44292719028900723,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
87,0.7011723518371582,2.0679545822716543,0.7011723518371582,0.37013888359069824,6136.22998046875,0.6073375344276428,1.284935474395752,0.0028201774694025517,"[5, 31, 19, 30, 23, 8]",0,0,0,0,none,[],0.17463077286242618,0.0,2.9167999519175583,0.24625764552472856,0.38770583867269126,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
88,0.6003960371017456,0.0,0.6003960371017456,0.35129445791244507,6088.67578125,0.6532678008079529,0.7672998309135437,0.002229380887001753,"[19, 38, 16, 14, 8, 15]",0,0,0,0,none,[],0.0,0.0,0.0,0.0,0.30340867553577905,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
89,0.5115229487419128,0.002943131241703641,0.5115229487419128,0.33028644323349,6135.6650390625,0.458305299282074,0.8992009162902832,0.002255483763292432,"[19, 38, 11, 30, 36, 17]",0,0,0,0,none,[],0.0,0.0,0.004204473202433773,0.23887629589073606,0.20943308451428178,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
90,0.5031513571739197,0.0,0.5031513571739197,0.3179005980491638,6183.89208984375,0.5262791514396667,0.6954548954963684,0.0029049841687083244,"[19, 24, 36, 29, 30, 23]",0,0,0,0,none,[],0.0,0.0,0.0,0.8689960210418219,0.15402722445155867,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
91,0.5928207039833069,0.0,0.5928207039833069,0.3052977919578552,6143.666015625,0.6208253502845764,0.8181347250938416,0.002169520128518343,"[16, 19, 38, 34, 13, 30]",0,0,0,0,none,[],0.0,0.0,0.0,0.34341458033550815,0.09765082863027774,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
92,0.5921844840049744,0.0,0.5921844840049744,0.2956772446632385,6220.4208984375,0.6339985728263855,0.7827768921852112,0.001929157879203558,"[30, 19, 16, 34, 13, 22]",0,0,0,0,none,[],0.0,0.0,0.0,1.3462701329420932,0.054615033397920246,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
93,0.5737794637680054,0.0,0.5737794637680054,0.28003597259521484,6205.001953125,0.5935478210449219,0.8101778626441956,0.0021410654298961163,"[19, 30, 11, 34, 6, 23]",0,0,0,0,none,[],0.0,0.0,0.0,1.1448109637612673,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
94,0.5843044519424438,0.0,0.5843044519424438,0.2728368639945984,6189.0234375,0.6050612330436707,0.8238879442214966,0.0013537995982915163,"[23, 30, 19, 34, 20, 27]",0,0,0,0,none,[],0.0,0.0,0.0,0.9360406219956917,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
95,0.543580174446106,0.0,0.543580174446106,0.26377275586128235,6160.72509765625,0.5663534998893738,0.7576207518577576,0.0016327871708199382,"[19, 26, 13, 8, 24, 30]",0,0,0,0,none,[],0.0,0.0,0.0,0.5663032684623849,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
96,0.5435498356819153,0.8681140813558696,0.5435498356819153,0.24030187726020813,6189.1904296875,0.4440658390522003,1.062887191772461,0.0022954163141548634,"[8, 4, 19, 38, 31, 30]",0,0,0,0,none,[],0.0,0.0,1.2401629733655282,0.9382224902539679,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
97,0.5877029299736023,0.4955808333131927,0.5877029299736023,0.22240829467773438,6204.12890625,0.5430062413215637,0.9924056529998779,0.0017810958670452237,"[19, 37, 0, 23, 30, 38]",0,0,0,0,none,[],0.0,0.0,0.7079726190188468,1.133404003393438,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
98,0.5049537420272827,0.0,0.5049537420272827,0.20204299688339233,6150.0693359375,0.47940361499786377,0.8203058838844299,0.002000323962420225,"[19, 4, 25, 30, 29, 23]",0,0,0,0,none,[],0.0,0.0,0.0,0.42707838249642244,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
99,0.5176928639411926,0.4464155455323076,0.5176928639411926,0.19302894175052643,6201.173828125,0.43465545773506165,0.9831038117408752,0.0020579341799020767,"[6, 32, 19, 38, 24, 23]",0,0,0,0,none,[],0.0,0.0,0.6377364936175823,1.0947938668464001,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
100,0.5115284323692322,0.0,0.5115284323692322,0.1753312647342682,6085.75244140625,0.5065502524375916,0.7786840200424194,0.0021080065052956343,"[16, 19, 29, 34, 11, 24]",0,0,0,0,none,[],0.0,0.0,0.0,0.0,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
101,0.47431302070617676,0.0,0.47431302070617676,0.15669426321983337,6196.46728515625,0.4402981102466583,0.7955420017242432,0.001929333433508873,"[19, 3, 11, 16, 13, 38]",0,0,0,0,none,[],0.0,0.0,0.0,1.0332996325144608,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
102,0.5001318454742432,0.6364075524409449,0.5001318454742432,0.14067533612251282,6167.3466796875,0.3920859098434448,1.0190494060516357,0.0025264171417802572,"[13, 19, 27, 29, 7, 37]",0,0,0,0,none,[],0.0,0.0,0.9091536463442071,0.6528188107152565,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
103,0.5070897936820984,0.0,0.5070897936820984,0.1291200965642929,6219.9404296875,0.46564456820487976,0.8631736636161804,0.0021476070396602154,"[24, 19, 25, 8, 30, 31]",0,0,0,0,none,[],0.0,0.0,0.0,1.3399924769007374,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
104,0.5712268352508545,2.319309025041285,0.5712268352508545,0.10931934416294098,6165.11279296875,0.37849321961402893,1.3374464511871338,0.002456003800034523,"[13, 11, 19, 34, 38, 30]",0,0,0,0,none,[],0.0,0.0,3.313298607201836,0.6236315379620018,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
105,0.47877365350723267,0.0,0.47877365350723267,0.11619509011507034,6205.97705078125,0.44506195187568665,0.8013120889663696,0.002255390165373683,"[11, 19, 23, 13, 22, 34]",0,0,0,0,none,[],0.0,0.0,0.0,1.1575512880647099,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
106,0.5454636812210083,0.9785775910195978,0.5454636812210083,0.1138484999537468,6256.0859375,0.4388423264026642,1.0837863683700562,0.0019253024365752935,"[19, 23, 11, 30, 37, 8]",0,0,0,0,none,[],0.0,0.0,1.3979679871708541,1.8122584993777726,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
107,0.5227300524711609,0.5989760393439876,0.5227300524711609,0.09681690484285355,6164.01904296875,0.43114742636680603,1.0119675397872925,0.002167842350900173,"[14, 19, 34, 30, 36, 38]",0,0,0,0,none,[],0.0,0.0,0.8556800562056965,0.6093409388434683,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
108,0.5279929637908936,0.7231697508676951,0.5279929637908936,0.07978244870901108,6176.1708984375,0.43016886711120605,1.0354644060134888,0.0021698137279599905,"[19, 27, 7, 24, 30, 32]",0,0,0,0,none,[],0.0,0.0,1.0330996440967073,0.7681133228894248,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
109,0.47825878858566284,0.0,0.47825878858566284,0.06920157372951508,6235.5859375,0.41901928186416626,0.864296555519104,0.0023809345439076424,"[4, 19, 34, 28, 38, 37]",0,0,0,0,none,[],0.0,0.0,0.0,1.5444118416132595,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
110,0.46296051144599915,0.0,0.46296051144599915,0.05280940234661102,6152.07568359375,0.39600443840026855,0.8607349991798401,0.002191950799897313,"[19, 38, 24, 34, 29, 37]",0,0,0,0,none,[],0.0,0.0,0.0,0.45329270025448226,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
111,0.4799365997314453,0.0845216129642157,0.4799365997314453,0.04464658349752426,6184.5263671875,0.4016821086406708,0.914635181427002,0.0018122029723599553,"[30, 38, 19, 34, 13, 27]",0,0,0,0,none,[],0.0,0.0,0.12074516137745102,0.8772832925842216,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
112,0.48102131485939026,0.0,0.48102131485939026,0.04800579696893692,6211.89306640625,0.4214158356189728,0.8694241046905518,0.0022430745884776115,"[23, 19, 37, 34, 30, 11]",0,0,0,0,none,[],0.0,0.0,0.0,1.2348481179397777,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
113,0.42631345987319946,0.0,0.42631345987319946,0.04109577089548111,6230.283203125,0.3929535746574402,0.7220061421394348,0.0017273571575060487,"[19, 38, 37, 29, 28, 30]",0,0,0,0,none,[],0.0,0.0,0.0,1.4751279548153695,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
114,0.4133300483226776,0.0,0.4133300483226776,0.034239619970321655,6188.025390625,0.3994324505329132,0.6535733342170715,0.002331180963665247,"[19, 38, 11, 34, 29, 30]",0,0,0,0,none,[],0.0,0.0,0.0,0.92300045030003,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
115,0.39793381094932556,0.0,0.39793381094932556,0.030356092378497124,6214.46923828125,0.3834727108478546,0.6318675875663757,0.002371491165831685,"[19, 29, 11, 30, 13, 37]",0,0,0,0,none,[],0.0,0.0,0.0,1.2685075826493233,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
116,0.46029332280158997,0.13383623110354306,0.46029332280158997,0.02849266678094864,6153.78759765625,0.36645618081092834,0.9239652752876282,0.0021355871576815844,"[19, 38, 2, 11, 34, 30]",0,0,0,0,none,[],0.0,0.0,0.19119461586220438,0.4756600397676869,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
117,0.4492282569408417,0.0,0.4492282569408417,0.023332104086875916,6173.810546875,0.4172172546386719,0.7528083920478821,0.0021229248959571123,"[19, 38, 29, 11, 30, 34]",0,0,0,0,none,[],0.0,0.0,0.0,0.7372736996130895,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
118,0.4677179455757141,0.0,0.4677179455757141,0.02314162254333496,6166.38427734375,0.39070889353752136,0.8930317759513855,0.002135428600013256,"[19, 38, 37, 30, 14, 11]",0,0,0,0,none,[],0.0,0.0,0.0,0.640244359437297,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
119,0.49922963976860046,0.0,0.49922963976860046,0.02051568403840065,6188.8515625,0.44318556785583496,0.888063907623291,0.0017813596641644835,"[19, 11, 16, 38, 14, 30]",0,0,0,0,none,[],0.0,0.0,0.0,0.9337949564199222,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
120,0.46316853165626526,0.0,0.46316853165626526,0.0216632392257452,6142.1162109375,0.39770591259002686,0.857089102268219,0.002640543971210718,"[11, 19, 30, 34, 7, 20]",0,0,0,0,none,[],0.0,0.0,0.0,0.32316531176308616,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
121,0.5119311809539795,0.0,0.5119311809539795,0.02166789025068283,6170.87744140625,0.4724866449832916,0.8653610348701477,0.0022941522765904665,"[19, 33, 34, 23, 11, 37]",0,0,0,0,none,[],0.0,0.0,0.0,0.6989506509947724,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
122,0.5098640322685242,0.0,0.5098640322685242,0.022453347221016884,6228.8203125,0.4598131477832794,0.8886756300926208,0.0024957931600511074,"[19, 11, 29, 14, 34, 5]",0,0,0,0,none,[],0.0,0.0,0.0,1.456014278494331,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
123,0.5642167925834656,0.5398141237071296,0.5642167925834656,0.026973295956850052,6176.47998046875,0.5019080638885498,1.0007743835449219,0.0026449167635291815,"[19, 4, 29, 16, 34, 30]",0,0,0,0,none,[],0.0,0.0,0.771163033867328,0.7721516930867603,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
124,0.5681350231170654,0.9170219790463595,0.5681350231170654,0.035266727209091187,6228.81591796875,0.47957518696784973,1.0721403360366821,0.002923480700701475,"[19, 8, 11, 36, 38, 29]",0,0,0,0,none,[],0.0,0.0,1.3100313986376566,1.455956860908587,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
125,0.5830183625221252,0.0,0.5830183625221252,0.04787703976035118,6210.64990234375,0.5959326028823853,0.8409805297851562,0.002523288829252124,"[19, 17, 4, 11, 29, 34]",0,0,0,0,none,[],0.0,0.0,0.0,1.2186053209059444,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
126,0.5172499418258667,0.0,0.5172499418258667,0.05235903710126877,6187.998046875,0.48828205466270447,0.8469314575195312,0.002726319944486022,"[19, 11, 13, 24, 34, 28]",0,0,0,0,none,[],0.0,0.0,0.0,0.9226431853220666,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
127,0.5683527588844299,0.52488707367896,0.5683527588844299,0.06770104169845581,6213.5615234375,0.5097665786743164,0.9979502558708191,0.0020891122985631227,"[19, 7, 29, 16, 37, 11]",0,0,0,0,none,[],0.0,0.0,0.7498386766842287,1.2566476613272906,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
128,0.625747799873352,0.5581137085182618,0.625747799873352,0.08783335983753204,6141.84228515625,0.5989421010017395,1.0042365789413452,0.002799124689772725,"[11, 7, 19, 31, 16, 30]",0,0,0,0,none,[],0.0,0.0,0.7973052978832312,0.31958628225170344,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
129,0.5817385911941528,0.0,0.5817385911941528,0.10359610617160797,6232.31396484375,0.6300532817840576,0.7503368854522705,0.002968629589304328,"[19, 37, 30, 29, 11, 26]",0,0,0,0,none,[],0.0,0.0,0.0,1.5016612591608967,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
130,0.6210020780563354,0.0,0.6210020780563354,0.12333972752094269,6204.65234375,0.7055307626724243,0.7189808487892151,0.002401463221758604,"[19, 11, 30, 29, 33, 34]",0,0,0,0,none,[],0.0,0.0,0.0,1.140243075828736,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
131,0.6515456438064575,0.006468664071586061,0.6515456438064575,0.13790014386177063,6214.0595703125,0.7352694272994995,0.7665982842445374,0.0028214920312166214,"[19, 29, 37, 32, 30, 34]",0,0,0,0,none,[],0.0,0.043124427143907074,0.0,1.2631549877116226,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
132,0.5737746357917786,0.0,0.5737746357917786,0.1702379733324051,6206.66796875,0.6295572519302368,0.7201226353645325,0.002165675861760974,"[19, 16, 29, 11, 30, 31]",0,0,0,0,none,[],0.0,0.0,0.0,1.1665786084900336,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
133,0.6442961096763611,0.0023993086595578603,0.6442961096763611,0.2016030251979828,6170.994140625,0.7308099269866943,0.7490066289901733,0.0023056070785969496,"[34, 19, 29, 30, 31, 8]",0,0,0,0,none,[],0.0,0.01599539106371907,0.0,0.7004754068828659,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
134,0.7442091107368469,1.0850449621355798,0.7442091107368469,0.230442613363266,6214.67041015625,0.7564429044723511,1.0842862129211426,0.002885747468098998,"[30, 19, 16, 8, 29, 38]",0,0,0,0,none,[],0.5202377835337075,0.17193168936472752,1.4017422017154495,1.2711360321300536,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
135,0.7247225642204285,0.19952052165187886,0.7247225642204285,0.26244863867759705,6140.3740234375,0.887036144733429,0.6799120306968689,0.0027760546654462814,"[19, 37, 29, 30, 28, 33]",0,0,0,0,none,[],0.3637509275986765,0.9663858834138493,0.0,0.30040242888142216,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
136,0.8545466065406799,0.9354082735604321,0.8545466065406799,0.30764061212539673,6225.25830078125,0.9690203070640564,0.9941296577453613,0.003011788474395871,"[19, 11, 34, 37, 29, 16]",0,0,0,0,none,[],1.4063038597129152,1.465130393305478,0.7209901937252474,1.409474135382857,0.10813101503848464,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
